date,machine_id,severity,failure_probability,recommendation
2026-02-10,M3,HIGH,0.618,Machine M3: Production efficiency dropped 6.0 std-dev below normal; defect rate spiked 6.0 std-dev above normal; downtime rose 6.0 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Failure risk model estimates a 62% probability of breakdown if unaddressed. Schedule maintenance within 24 hours.
2026-02-11,M3,HIGH,0.769,Machine M3: Production efficiency dropped 2.9 std-dev below normal; defect rate spiked 2.9 std-dev above normal; downtime rose 3.3 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Failure risk model estimates a 77% probability of breakdown if unaddressed. Schedule maintenance within 24 hours.
2026-02-12,M3,HIGH,0.86,Machine M3: Production efficiency dropped 2.9 std-dev below normal; defect rate spiked 2.5 std-dev above normal; downtime rose 2.6 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Failure risk model estimates a 86% probability of breakdown if unaddressed. Schedule maintenance within 24 hours.
2026-04-04,M2,HIGH,0.004,Machine M2: Defect rate spiked 4.0 std-dev above normal; downtime rose 2.7 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 24 hours.
2026-04-05,M2,HIGH,0.015,Machine M2: Production efficiency dropped 2.8 std-dev below normal; defect rate spiked 3.5 std-dev above normal; downtime rose 4.0 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 24 hours.
2026-04-07,M2,HIGH,0.07,Machine M2: Production efficiency dropped 3.2 std-dev below normal; defect rate spiked 3.2 std-dev above normal; downtime rose 2.4 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 24 hours.
2026-05-11,M5,HIGH,0.0,Machine M5: Production efficiency dropped 4.8 std-dev below normal; defect rate spiked 6.0 std-dev above normal; downtime rose 3.5 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 24 hours.
2026-05-12,M5,HIGH,0.049,Machine M5: Production efficiency dropped 3.0 std-dev below normal; defect rate spiked 3.9 std-dev above normal; downtime rose 2.7 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 24 hours.
2026-06-10,M1,HIGH,0.004,Machine M1: Production efficiency dropped 6.0 std-dev below normal; defect rate spiked 6.0 std-dev above normal; downtime rose 6.0 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Schedule maintenance within 24 hours.
2026-06-11,M1,HIGH,0.84,Machine M1: Production efficiency dropped 3.5 std-dev below normal; defect rate spiked 4.3 std-dev above normal; downtime rose 3.8 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Failure risk model estimates a 84% probability of breakdown if unaddressed. Schedule maintenance within 24 hours.
2026-06-24,M2,HIGH,0.0,Machine M2: Downtime rose 4.7 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 24 hours.
2026-01-06,M4,LOW,0.0,Machine M4: Defect rate spiked 2.1 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-01-07,M2,LOW,0.0,Machine M2: Downtime rose 3.6 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-01-11,M2,LOW,0.0,Machine M2: Production efficiency dropped 2.1 std-dev below normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-01-11,M5,LOW,0.0,Machine M5: Downtime rose 2.4 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-01-13,M5,LOW,0.004,Machine M5: Defect rate spiked 2.3 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-01-18,M1,LOW,0.0,Machine M1: Production efficiency dropped 2.2 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-01-20,M1,LOW,0.0,Machine M1: Production efficiency dropped 2.4 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-01-20,M3,LOW,0.0,Machine M3: Defect rate spiked 2.6 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
